label,clients,test,ops_per_sec
day-2-fair-p16,1,set,216029.38
day-2-fair-p16,1,get,217381.86
day-2-fair-p16,2,set,391880.25
day-2-fair-p16,2,get,391849.53
day-2-fair-p16,4,set,587682.12
day-2-fair-p16,4,get,605473.44
day-2-fair-p16,8,set,644329.88
day-2-fair-p16,8,get,644329.88
day-2-fair-p16,16,set,689179.88
day-2-fair-p16,16,get,713266.75
day-2-fair-p16,32,set,832362.25
day-2-fair-p16,32,get,868206.31
day-2-fair-p16,64,set,867603.69
day-2-fair-p16,64,get,906947.19
